Modelo,Velocidade (km/h)
Merc 450SLC,104
Merc 240D,139
Hornet 4 Drive,153
Chrysler Imperial,139
Ford Pantera L,81
Merc 280,132
Datsun 710,115
Hornet 4 Drive,124
Honda Civic,131
Merc 450SE,142
Merc 240D,110
Merc 280C,160
Merc 280C,145
Volvo 142E,97
Camaro Z28,152
Merc 450SLC,113
Hornet 4 Drive,121
Lincoln Continental,127
Merc 240D,138
Fiat 128,111
Merc 230,119
Dodge Challenger,100
Ford Pantera L,75
Fiat X1-9,125
Merc 230,124
Fiat X1-9,120
Merc 280C,142
Pontiac Firebird,118
Toyota Corona,104
AMC Javelin,142
Fiat 128,121
Ferrari Dino,135
Volvo 142E,81
Volvo 142E,79
Valiant,88
Mazda RX4 Wag,99
AMC Javelin,144
Valiant,99
AMC Javelin,147
Merc 450SL,106
Fiat 128,97
Hornet Sportabout,149
Merc 240D,143
Mazda RX4 Wag,113
Merc 450SE,143
Merc 450SLC,126
Datsun 710,131
Merc 230,116
Volvo 142E,87
Valiant,107
Mazda RX4 Wag,118
Pontiac Firebird,128
Toyota Corona,91
Merc 450SL,79
Camaro Z28,155
Lotus Europa,89
Ford Pantera L,65
Datsun 710,130
Merc 280C,141
AMC Javelin,146
Merc 450SLC,123
AMC Javelin,146
Fiat X1-9,110
Merc 450SL,102
Maserati Bora,119
Merc 280C,142
Fiat X1-9,109
Duster 360,139
Camaro Z28,161
Merc 450SE,141
Merc 450SE,140
Ferrari Dino,131
Merc 280,140
Cadillac Fleetwood,121
Ford Pantera L,84
Ford Pantera L,93
Toyota Corolla,104
Porsche 914-2,99
Hornet 4 Drive,152
Datsun 710,146
Fiat X1-9,106
Camaro Z28,152
Merc 240D,121
Valiant,105
Mazda RX4 Wag,107
Volvo 142E,96
Hornet Sportabout,142
Merc 230,135
Honda Civic,138
Fiat X1-9,119
Datsun 710,125
Fiat X1-9,120
Merc 450SL,100
Hornet Sportabout,142
AMC Javelin,143
Chrysler Imperial,146
Merc 450SLC,123
Hornet 4 Drive,131
Duster 360,133
Duster 360,139
Merc 450SLC,127
Merc 280C,154
Valiant,93
Lotus Europa,84
Merc 230,134
Lincoln Continental,161
Merc 450SE,136
Toyota Corona,91
Toyota Corolla,115
Mazda RX4 Wag,104
Pontiac Firebird,129
Merc 280C,146
Merc 280C,152
Toyota Corona,91
Datsun 710,143
Fiat X1-9,115
Maserati Bora,140
Merc 450SLC,132
Mazda RX4 Wag,101
Hornet Sportabout,130
Toyota Corolla,100
Fiat X1-9,118
Merc 450SLC,109
Merc 450SLC,117
Ford Pantera L,87
Toyota Corona,86
Camaro Z28,143
Datsun 710,138
AMC Javelin,156
Merc 280,148
AMC Javelin,160
Pontiac Firebird,116
Dodge Challenger,106
Dodge Challenger,118
Merc 230,119
Mazda RX4 Wag,112
Merc 280,132
Camaro Z28,147
Duster 360,114
Merc 450SE,156
Merc 280,132
Mazda RX4 Wag,107
Lotus Europa,104
Toyota Corona,97
Cadillac Fleetwood,129
Maserati Bora,122
Pontiac Firebird,116
Cadillac Fleetwood,137
Merc 280C,140
Pontiac Firebird,106
Hornet Sportabout,137
Fiat X1-9,109
Merc 240D,133
Fiat 128,95
Chrysler Imperial,143
Cadillac Fleetwood,131
Merc 280C,140
Toyota Corona,86
Merc 450SE,157
Pontiac Firebird,123
Toyota Corolla,107
Cadillac Fleetwood,131
Volvo 142E,91
Merc 280,146
Mazda RX4 Wag,93
Merc 240D,126
Volvo 142E,74
Merc 280C,145
Maserati Bora,127
AMC Javelin,156
Hornet 4 Drive,121
Merc 450SL,89
Duster 360,123
Camaro Z28,160
Fiat 128,130
Pontiac Firebird,130
Merc 280,163
Honda Civic,131
Fiat 128,107
Merc 230,119
Honda Civic,126
Merc 280,124
Porsche 914-2,109
Hornet Sportabout,143
Pontiac Firebird,133
Merc 280,137
Toyota Corona,98
Hornet 4 Drive,146
Hornet Sportabout,134
Honda Civic,127
Pontiac Firebird,124
Merc 280,146
Honda Civic,122
Fiat 128,107
Hornet Sportabout,148
Merc 450SE,140
Pontiac Firebird,117
Ford Pantera L,77
Duster 360,139
Ferrari Dino,138
Valiant,111
Merc 280C,151
Volvo 142E,116
Duster 360,138
Camaro Z28,177
Datsun 710,126
Ford Pantera L,89
Merc 230,123
Merc 280,151
Merc 230,119
Camaro Z28,155
Dodge Challenger,101
Fiat 128,107
Merc 450SE,153
Honda Civic,140
Datsun 710,156
Merc 450SLC,123
Merc 280C,131
Pontiac Firebird,126
Maserati Bora,133
Cadillac Fleetwood,126
Pontiac Firebird,131
Merc 450SE,135
AMC Javelin,146
Valiant,99
Ford Pantera L,83
Dodge Challenger,122
Toyota Corona,89
Honda Civic,138
Pontiac Firebird,121
Honda Civic,139
Lincoln Continental,141
Merc 450SLC,106
Hornet Sportabout,150
Camaro Z28,147
Ferrari Dino,125
Chrysler Imperial,121
Merc 230,134
Merc 280,142
Hornet Sportabout,121
Camaro Z28,128
Pontiac Firebird,128
Cadillac Fleetwood,124
Pontiac Firebird,139
Lotus Europa,111
Toyota Corona,109
Pontiac Firebird,123
Datsun 710,139
Datsun 710,129
Valiant,96
Valiant,98
Mazda RX4 Wag,86
Lincoln Continental,142
Chrysler Imperial,112
Hornet 4 Drive,123
Merc 450SE,145
Camaro Z28,156
Merc 280,148
Duster 360,141
Maserati Bora,112
Merc 450SL,84
Honda Civic,145
Lotus Europa,112
Cadillac Fleetwood,130
Valiant,104
Porsche 914-2,103
Mazda RX4 Wag,102
Pontiac Firebird,113
Honda Civic,140
Merc 280,149
Duster 360,130
Merc 280,133
Volvo 142E,94
Valiant,108
Duster 360,136
Mazda RX4 Wag,101
Merc 280,154
Camaro Z28,142
Honda Civic,134
Ford Pantera L,98
Merc 230,141
Duster 360,142
Ferrari Dino,135
Camaro Z28,160
Porsche 914-2,110
Lincoln Continental,132
Duster 360,113
Merc 230,118
Ford Pantera L,120
Datsun 710,138
AMC Javelin,147
Honda Civic,140
Duster 360,122
Maserati Bora,114
Fiat X1-9,118
Lotus Europa,99
Honda Civic,129
Camaro Z28,131
Cadillac Fleetwood,141
Chrysler Imperial,151
Duster 360,127
Pontiac Firebird,108
Hornet Sportabout,145
Valiant,107
Maserati Bora,132
Ford Pantera L,101
Datsun 710,136
Cadillac Fleetwood,124
Pontiac Firebird,109
Pontiac Firebird,133
Fiat 128,95
Hornet Sportabout,136
Porsche 914-2,109
Merc 280C,141
Lotus Europa,98
Camaro Z28,150
Merc 280C,145
Merc 450SLC,125
Ford Pantera L,96
Fiat 128,88
Dodge Challenger,101
Pontiac Firebird,125
Merc 230,130
Maserati Bora,133
Toyota Corolla,99
Hornet Sportabout,139
Lincoln Continental,133
Merc 450SE,143
Volvo 142E,77
Volvo 142E,97
Porsche 914-2,110
Toyota Corona,111
Cadillac Fleetwood,135
Hornet Sportabout,152
Honda Civic,134
Honda Civic,140
Merc 230,103
Merc 450SLC,119
Merc 450SE,152
Merc 450SE,139
Datsun 710,135
Toyota Corona,92
Datsun 710,135
Duster 360,124
Merc 450SLC,141
Fiat X1-9,117
Hornet 4 Drive,141
Lotus Europa,97
Merc 450SE,163
Hornet Sportabout,139
Merc 280,143
Porsche 914-2,104
Fiat X1-9,107
Merc 450SLC,104
Merc 240D,142
Fiat 128,107
Merc 280,145
Fiat 128,94
Fiat X1-9,105
Lotus Europa,107
Hornet 4 Drive,129
Fiat X1-9,129
Fiat X1-9,106
Valiant,92
AMC Javelin,161
Merc 240D,125
Mazda RX4 Wag,117
Pontiac Firebird,124
Hornet Sportabout,147
Valiant,109
Merc 280,163
Ferrari Dino,124
Porsche 914-2,99
Duster 360,120
Cadillac Fleetwood,131
Cadillac Fleetwood,123
Volvo 142E,89
AMC Javelin,136
Chrysler Imperial,126
Fiat X1-9,117
Ferrari Dino,116
Fiat 128,87
Merc 450SE,143
Volvo 142E,107
Merc 280,141
Duster 360,119
Lotus Europa,102
Hornet Sportabout,134
Valiant,101
Merc 450SL,116
Merc 450SLC,127
Fiat X1-9,125
Merc 240D,141
Fiat X1-9,102
Dodge Challenger,109
Duster 360,131
Chrysler Imperial,131
Duster 360,148
Merc 450SLC,131
Cadillac Fleetwood,128
Fiat X1-9,100
Merc 230,124
Datsun 710,133
Ford Pantera L,85
Cadillac Fleetwood,141
Lotus Europa,112
Merc 280,175
Valiant,102
Cadillac Fleetwood,123
Lotus Europa,86
Duster 360,125
Hornet Sportabout,130
Datsun 710,133
Pontiac Firebird,120
Ford Pantera L,92
Fiat X1-9,122
Hornet Sportabout,129
Ferrari Dino,142
Hornet 4 Drive,139
Camaro Z28,152
Pontiac Firebird,125
Merc 280C,160
Merc 280,139
Toyota Corona,97
AMC Javelin,151
Lincoln Continental,145
Porsche 914-2,102
Pontiac Firebird,111
Merc 280,145
Hornet 4 Drive,132
Lincoln Continental,127
Toyota Corolla,113
Camaro Z28,146
Honda Civic,123
Lotus Europa,80
Merc 450SE,149
Duster 360,148
Toyota Corona,96
Mazda RX4 Wag,95
Merc 450SLC,124
AMC Javelin,137
Duster 360,138
Toyota Corolla,89
Valiant,101
Volvo 142E,102
Pontiac Firebird,115
AMC Javelin,146
Merc 450SE,154
Merc 280,152
Ford Pantera L,90
Merc 230,132
Cadillac Fleetwood,142
Pontiac Firebird,123
Valiant,106
Camaro Z28,149
Ferrari Dino,122
AMC Javelin,149
Camaro Z28,155
Merc 450SE,156
Volvo 142E,96
Duster 360,142
Valiant,98
Mazda RX4 Wag,107
Datsun 710,134
Lotus Europa,99
Merc 450SE,162
Merc 450SLC,126
Fiat X1-9,118
Datsun 710,133
Duster 360,147
Duster 360,126
Fiat 128,70
Hornet Sportabout,132
Hornet 4 Drive,127
Merc 450SE,150
Lotus Europa,105
Volvo 142E,95
Hornet Sportabout,143
Ford Pantera L,108
Chrysler Imperial,142
Merc 240D,144
Hornet 4 Drive,127
Duster 360,146
AMC Javelin,159
Merc 280,148
Merc 280C,134
Ferrari Dino,127
Camaro Z28,142
AMC Javelin,148
Hornet Sportabout,120
Ferrari Dino,136
Cadillac Fleetwood,143
Toyota Corona,93
Fiat 128,89
Ferrari Dino,127
Volvo 142E,94
Volvo 142E,92
Volvo 142E,88
Porsche 914-2,87
Camaro Z28,160
Duster 360,118
Merc 230,124
Lincoln Continental,105
Ford Pantera L,96
Merc 230,109
Mazda RX4 Wag,112
Hornet Sportabout,128
Toyota Corona,99
Toyota Corolla,94
Valiant,96
Toyota Corona,84
Ferrari Dino,131
Fiat X1-9,108
Valiant,93
Toyota Corolla,118
Pontiac Firebird,113
Ferrari Dino,154
Hornet 4 Drive,131
AMC Javelin,154
Volvo 142E,101
Volvo 142E,84
Ford Pantera L,96
Valiant,89
Mazda RX4 Wag,116
Merc 280,136
Ford Pantera L,95
Duster 360,134
Cadillac Fleetwood,130
Merc 450SLC,137
Toyota Corolla,111
Mazda RX4 Wag,83
Fiat 128,108
Merc 450SL,89
Fiat 128,83
Volvo 142E,102
Hornet 4 Drive,121
Cadillac Fleetwood,129
Merc 280C,148
Merc 280,134
Honda Civic,136
Merc 450SLC,130
Valiant,114
Hornet Sportabout,150
Cadillac Fleetwood,135
Cadillac Fleetwood,131
Ferrari Dino,142
Camaro Z28,154
Hornet Sportabout,151
Valiant,119
Merc 240D,150
Datsun 710,131
Merc 280,144
Duster 360,124
Pontiac Firebird,126
Fiat 128,115
Merc 230,110
Duster 360,141
Hornet 4 Drive,125
AMC Javelin,174
Merc 280C,157
Pontiac Firebird,136
Maserati Bora,114
Merc 450SE,160
AMC Javelin,154
Maserati Bora,125
Hornet 4 Drive,122
Lincoln Continental,120
Chrysler Imperial,143
Camaro Z28,162
Duster 360,150
Merc 240D,129
Ford Pantera L,100
Merc 230,131
Ferrari Dino,137
Ferrari Dino,128
Honda Civic,137
Merc 280C,128
Toyota Corolla,114
Merc 450SLC,134
Merc 280,143
Ferrari Dino,149
Valiant,96
Hornet Sportabout,139
Merc 230,128
Cadillac Fleetwood,142
Porsche 914-2,113
Honda Civic,114
Camaro Z28,140
Ferrari Dino,137
Porsche 914-2,116
Lotus Europa,103
Cadillac Fleetwood,151
Merc 450SE,157
Merc 280,142
Lotus Europa,97
Dodge Challenger,106
Valiant,101
Maserati Bora,124
Datsun 710,148
Pontiac Firebird,106
Volvo 142E,89
Merc 450SLC,120
Camaro Z28,138
Merc 450SLC,112
AMC Javelin,164
Volvo 142E,96
Volvo 142E,91
Fiat X1-9,102
Ford Pantera L,99
Hornet Sportabout,120
AMC Javelin,155
Hornet Sportabout,157
Honda Civic,134
Merc 450SE,135
Hornet 4 Drive,156
Ford Pantera L,86
Mazda RX4 Wag,97
Dodge Challenger,105
Valiant,93
Honda Civic,145
Hornet Sportabout,132
Merc 450SE,150
Merc 450SE,130
Valiant,107
Valiant,101
Datsun 710,122
Toyota Corona,93
Volvo 142E,100
Lincoln Continental,121
Duster 360,118
Honda Civic,124
Fiat 128,101
Duster 360,145
Valiant,94
Honda Civic,143
Fiat X1-9,126
Merc 280,143
Duster 360,127
Merc 450SE,145
Merc 450SE,133
Duster 360,118
Merc 280C,121
Mazda RX4 Wag,95
Duster 360,119
Datsun 710,141
Ford Pantera L,83
Valiant,104
Hornet Sportabout,133
Hornet 4 Drive,127
Valiant,97
Camaro Z28,147
Cadillac Fleetwood,147
Porsche 914-2,88
Porsche 914-2,96
Camaro Z28,154
Merc 280C,127
Lincoln Continental,150
Fiat 128,102
Volvo 142E,90
Maserati Bora,149
Dodge Challenger,109
Volvo 142E,95
Porsche 914-2,92
Maserati Bora,142
Merc 450SE,147
Porsche 914-2,114
Mazda RX4 Wag,109
Ford Pantera L,77
Honda Civic,121
Volvo 142E,82
Camaro Z28,136
Porsche 914-2,106
Camaro Z28,147
Volvo 142E,100
Merc 280,162
Toyota Corolla,106
Lotus Europa,94
Camaro Z28,131
Porsche 914-2,113
Ferrari Dino,134
Pontiac Firebird,112
Pontiac Firebird,115
Ford Pantera L,76
Dodge Challenger,110
Merc 280,144
Merc 280,146
Dodge Challenger,118
Fiat X1-9,111
Merc 450SE,141
Merc 280,134
Merc 280,141
Maserati Bora,130
Lotus Europa,92
Valiant,99
AMC Javelin,137
Volvo 142E,110
Porsche 914-2,104
Toyota Corolla,116
Valiant,102
Valiant,112
Merc 280,144
Dodge Challenger,112
Ford Pantera L,72
Merc 450SE,145
Porsche 914-2,113
Duster 360,135
Lotus Europa,94
Hornet Sportabout,125
Valiant,105
Ferrari Dino,137
Volvo 142E,101
Hornet Sportabout,141
Cadillac Fleetwood,136
Merc 450SE,146
Camaro Z28,133
Fiat X1-9,98
Maserati Bora,140
Merc 280,150
Fiat X1-9,98
Chrysler Imperial,126
Merc 450SL,96
Hornet Sportabout,137
Volvo 142E,100
Mazda RX4 Wag,85
Datsun 710,146
Valiant,81
Datsun 710,129
Duster 360,139
Merc 450SE,140
Merc 450SE,154
Merc 450SLC,121
Hornet 4 Drive,131
Ferrari Dino,127
Hornet Sportabout,135
Merc 280,138
Fiat 128,96
Valiant,100
Hornet Sportabout,138
Honda Civic,129
Merc 280,126
Hornet Sportabout,154
Porsche 914-2,106
Datsun 710,136
Mazda RX4 Wag,96
Merc 280,134
Merc 450SE,130
Camaro Z28,155
Hornet 4 Drive,120
Fiat X1-9,131
Merc 450SE,143
Duster 360,154
Merc 450SE,153
Pontiac Firebird,118
Cadillac Fleetwood,122
Ferrari Dino,128
Fiat X1-9,108
Porsche 914-2,100
Ford Pantera L,86
Lotus Europa,109
Mazda RX4 Wag,111
Merc 230,120
Duster 360,139
Toyota Corolla,102
Maserati Bora,126
Dodge Challenger,107
Pontiac Firebird,126
Pontiac Firebird,109
Honda Civic,150
Hornet Sportabout,132
Merc 450SLC,119
Merc 280C,157
Volvo 142E,92
Merc 450SLC,138
Duster 360,127
Lincoln Continental,140
Camaro Z28,135
Merc 280,127
Toyota Corona,102
Honda Civic,150
Ford Pantera L,106
Merc 450SLC,123
Valiant,112
Hornet 4 Drive,128
Lotus Europa,95
Merc 450SL,98
Lotus Europa,96
Lincoln Continental,138
Valiant,123
Maserati Bora,122
Merc 230,138
Hornet Sportabout,132
Duster 360,134
Merc 240D,118
Dodge Challenger,109
Duster 360,132
Merc 230,128
Pontiac Firebird,127
Merc 280,146
Hornet Sportabout,125
Maserati Bora,106
Camaro Z28,147
Lotus Europa,100
Pontiac Firebird,124
AMC Javelin,151
Mazda RX4 Wag,96
Honda Civic,122
Ford Pantera L,88
Lotus Europa,96
Merc 450SL,91
Merc 450SE,149
Mazda RX4 Wag,80
Merc 230,123
Porsche 914-2,113
Porsche 914-2,99
Duster 360,142
Datsun 710,140
Honda Civic,135
Merc 280C,131
Camaro Z28,143
Hornet 4 Drive,134
Pontiac Firebird,123
Valiant,87
Lotus Europa,108
AMC Javelin,155
Ferrari Dino,128
Dodge Challenger,98
Hornet Sportabout,138
Mazda RX4 Wag,111
Merc 230,121
Valiant,112
Hornet 4 Drive,144
Porsche 914-2,110
Ford Pantera L,82
Maserati Bora,127
Merc 450SE,151
Ford Pantera L,98
Camaro Z28,130
Honda Civic,126
Ferrari Dino,129
Hornet 4 Drive,125
Dodge Challenger,94
Merc 280,137
Pontiac Firebird,121
Merc 450SL,98
Hornet 4 Drive,113
Merc 450SE,136
Ford Pantera L,86
Merc 450SE,126
Merc 450SE,155
Hornet Sportabout,140
Hornet Sportabout,148
Maserati Bora,133
Merc 450SE,156
Pontiac Firebird,105
Volvo 142E,84
Datsun 710,134
Toyota Corona,95
Volvo 142E,101
Dodge Challenger,101
Merc 240D,149
Merc 230,126
Merc 280,143
Merc 450SLC,133
Toyota Corona,103
Honda Civic,132
Hornet Sportabout,143
Datsun 710,154
Lotus Europa,88
Duster 360,112
Fiat X1-9,115
Datsun 710,130
Hornet Sportabout,146
Ford Pantera L,85
Valiant,103
Merc 280C,143
Merc 280,142
Hornet Sportabout,147
Camaro Z28,155
Lotus Europa,106
Honda Civic,143
Merc 280C,144
Porsche 914-2,92
Camaro Z28,143
Pontiac Firebird,132
Valiant,85
Duster 360,129
Pontiac Firebird,112
Merc 450SE,140
AMC Javelin,169
Pontiac Firebird,119
Volvo 142E,90
Merc 280C,131
AMC Javelin,158
Merc 280C,134
Porsche 914-2,106
Ferrari Dino,127
Lotus Europa,104
Merc 450SE,139
Lotus Europa,96
Merc 240D,145
Maserati Bora,140
Ford Pantera L,89
Lotus Europa,87
Fiat X1-9,105
Merc 450SE,146
Merc 280C,141
Merc 230,133
Mazda RX4 Wag,100
Toyota Corolla,115
Fiat 128,87
Volvo 142E,89
Porsche 914-2,102
Volvo 142E,98
Merc 230,131
Merc 240D,129
Merc 450SE,143
AMC Javelin,157
Honda Civic,128
Mazda RX4 Wag,129
Cadillac Fleetwood,140
Merc 450SE,127
Pontiac Firebird,124
Lincoln Continental,125
Merc 450SL,103
Datsun 710,129
Volvo 142E,85
Chrysler Imperial,149
Merc 280,147
Merc 280,141
Merc 450SLC,120
Datsun 710,140
Pontiac Firebird,124
Merc 280C,152
Hornet Sportabout,164
Valiant,93
Merc 450SE,133
Camaro Z28,155
Merc 280C,141
Cadillac Fleetwood,143
Merc 280,140
Mazda RX4 Wag,117
Toyota Corona,107
Volvo 142E,112
Merc 450SLC,117
Lotus Europa,98
Camaro Z28,153
Pontiac Firebird,127
AMC Javelin,152
Merc 450SE,155
Mazda RX4 Wag,86
Cadillac Fleetwood,133
Merc 240D,127
Porsche 914-2,94
Volvo 142E,100
Pontiac Firebird,114
Valiant,115
Honda Civic,124
Merc 450SLC,117
Merc 280C,130
Merc 240D,159
Duster 360,141
Mazda RX4 Wag,110
Mazda RX4 Wag,112
Honda Civic,126
Toyota Corona,114
AMC Javelin,160
Pontiac Firebird,113
Merc 450SLC,129
Valiant,106
Cadillac Fleetwood,124
Ferrari Dino,118
Porsche 914-2,124
Merc 280,136
Ford Pantera L,95
Camaro Z28,151
Ford Pantera L,94
Merc 450SL,80
Merc 280C,135
Merc 450SE,135
Merc 450SLC,117
Ferrari Dino,131
Fiat 128,98
Valiant,102
Datsun 710,153
Merc 230,118
Honda Civic,147
Merc 280,142
Maserati Bora,127
Dodge Challenger,109
Lotus Europa,102
Duster 360,140
Honda Civic,127
Valiant,94
Merc 450SE,135
Merc 240D,133
Merc 450SE,152
Pontiac Firebird,142
Dodge Challenger,107
Chrysler Imperial,124
Chrysler Imperial,139
Lotus Europa,102
Valiant,95
Ferrari Dino,131
Toyota Corona,101
Merc 450SLC,112
Camaro Z28,130
Duster 360,133
Toyota Corona,101
AMC Javelin,154
Chrysler Imperial,135
Camaro Z28,140
Pontiac Firebird,123
Toyota Corona,106
Volvo 142E,117
Camaro Z28,139
Ford Pantera L,90
Merc 280C,139
Porsche 914-2,115
Dodge Challenger,117
Ferrari Dino,131
Fiat X1-9,119
Chrysler Imperial,118
Valiant,101
Merc 450SE,148
Hornet 4 Drive,122
Fiat 128,88
Fiat X1-9,98
Merc 280C,135
Merc 450SLC,112
Ferrari Dino,137
Duster 360,128
Duster 360,127
Mazda RX4 Wag,101
Volvo 142E,106
AMC Javelin,169
Merc 230,133
Merc 230,115
Valiant,89
Chrysler Imperial,152
Merc 240D,138
Honda Civic,143
Dodge Challenger,84
Duster 360,134
Merc 450SLC,125
Pontiac Firebird,104
Porsche 914-2,97
Merc 240D,151
Hornet Sportabout,143
Merc 450SE,155
Hornet Sportabout,126
Merc 280C,155
Hornet Sportabout,145
Lotus Europa,117
Pontiac Firebird,108
Merc 450SLC,143
Merc 230,130
Toyota Corona,101
AMC Javelin,130
Toyota Corolla,104
Merc 450SL,98
Duster 360,127
AMC Javelin,152
Hornet Sportabout,133
Ford Pantera L,96
Porsche 914-2,107
Cadillac Fleetwood,116
Volvo 142E,122
Valiant,100
Fiat 128,111
Merc 280,147
Fiat X1-9,125
Merc 240D,129
Merc 450SE,157
Merc 280C,143
Merc 230,109
Merc 280C,143
Merc 450SL,103
Merc 280,142
Merc 280C,155
Merc 280C,155
Pontiac Firebird,120
Dodge Challenger,99
Duster 360,128
Merc 230,115
Hornet 4 Drive,132
Merc 450SL,101
Porsche 914-2,102
Porsche 914-2,94
Honda Civic,141
AMC Javelin,161
Mazda RX4 Wag,106
Maserati Bora,138
Ferrari Dino,145
Mazda RX4 Wag,104
Merc 280C,160
Porsche 914-2,125
Hornet 4 Drive,128
Porsche 914-2,123
Pontiac Firebird,122
Ferrari Dino,144
Merc 450SL,95
Merc 450SE,144
Volvo 142E,106
Duster 360,133
Cadillac Fleetwood,141
Maserati Bora,139
Honda Civic,124
Camaro Z28,157
Lincoln Continental,143
Honda Civic,140
Camaro Z28,144
Camaro Z28,151
Mazda RX4 Wag,105
Valiant,98
Fiat X1-9,125
AMC Javelin,135
Hornet Sportabout,133
Valiant,93
Hornet Sportabout,146
Merc 450SLC,123
Ferrari Dino,142
Merc 230,123
Datsun 710,126
Dodge Challenger,98
Maserati Bora,133
Merc 280,145
Ferrari Dino,136
AMC Javelin,131
Fiat X1-9,116
Ferrari Dino,123
Merc 230,135
Valiant,106
Honda Civic,145
Mazda RX4 Wag,104
Ford Pantera L,86
Merc 280,136
Merc 450SLC,141
Toyota Corona,96
Datsun 710,136
Hornet Sportabout,141
Merc 450SLC,118
Duster 360,130
Volvo 142E,87
Valiant,98
Hornet 4 Drive,120
Dodge Challenger,99
Volvo 142E,76
Valiant,91
Pontiac Firebird,121
Pontiac Firebird,141
Hornet 4 Drive,128
Lotus Europa,85
Merc 280,137
Mazda RX4 Wag,106
Merc 450SE,140
Fiat X1-9,101
Dodge Challenger,111
Duster 360,148
Valiant,93
Camaro Z28,154
Pontiac Firebird,124
Toyota Corona,95
Camaro Z28,130
Duster 360,150
Lotus Europa,90
Merc 280C,147
Hornet 4 Drive,140
Ford Pantera L,86
Merc 280,132
Merc 240D,134
Merc 280,144
Merc 240D,150
Mazda RX4 Wag,94
Merc 240D,134
Cadillac Fleetwood,141
Pontiac Firebird,120
Datsun 710,144
Merc 450SLC,123
AMC Javelin,150
Volvo 142E,98
Lotus Europa,88
Valiant,99
Pontiac Firebird,125
Chrysler Imperial,107
Camaro Z28,136
Toyota Corona,100
Volvo 142E,88
Porsche 914-2,112
Volvo 142E,89
Lotus Europa,106
Merc 280,131
Porsche 914-2,106
Dodge Challenger,99
Valiant,117
Fiat X1-9,112
Merc 450SLC,137
AMC Javelin,162
AMC Javelin,158
Ferrari Dino,135
Merc 450SLC,121
Porsche 914-2,107
Fiat 128,88
Toyota Corolla,97
Merc 450SLC,114
Hornet Sportabout,127
Merc 450SE,142
Volvo 142E,84
Fiat X1-9,123
Merc 230,129
Merc 450SE,156
Fiat 128,110
Volvo 142E,92
Maserati Bora,124
Duster 360,131
Merc 280,152
Camaro Z28,143
Volvo 142E,101
Volvo 142E,72
Camaro Z28,149
Chrysler Imperial,139
Fiat X1-9,115
Cadillac Fleetwood,139
Porsche 914-2,108
Honda Civic,114
Porsche 914-2,120
Lotus Europa,91
Datsun 710,140
Cadillac Fleetwood,136
Hornet Sportabout,128
AMC Javelin,132
Fiat X1-9,119
Fiat 128,91
Merc 280,141
Merc 450SL,102
Porsche 914-2,89
Volvo 142E,97
Datsun 710,119
Merc 450SLC,135
Dodge Challenger,96
Merc 280,137
Hornet Sportabout,154
Merc 450SE,145
Mazda RX4 Wag,105
Datsun 710,155
Pontiac Firebird,126
Merc 230,121
Ford Pantera L,98
Camaro Z28,130
Fiat X1-9,107
Honda Civic,133
Merc 450SL,96
Camaro Z28,130
Volvo 142E,100
Honda Civic,127
Merc 230,109
Ferrari Dino,137
Mazda RX4 Wag,108
Merc 280,132
Volvo 142E,89
Porsche 914-2,105
Honda Civic,127
Merc 230,118
Porsche 914-2,110
Hornet Sportabout,145
Ferrari Dino,148
Ferrari Dino,124
Merc 280C,145
Datsun 710,137
Honda Civic,133
Hornet Sportabout,131
Duster 360,143
Pontiac Firebird,115
Camaro Z28,153
Mazda RX4 Wag,103
Honda Civic,130
Hornet 4 Drive,138
Merc 230,111
Merc 450SL,88
Merc 450SE,144
Toyota Corona,90
Maserati Bora,128
Cadillac Fleetwood,117
Datsun 710,130
Merc 230,128
Maserati Bora,124
Hornet 4 Drive,148
Merc 450SE,160
Honda Civic,157
Camaro Z28,127
Merc 450SL,87
Camaro Z28,160
Merc 230,140
Mazda RX4 Wag,107
Merc 280,134
Honda Civic,120
